sutta_uid,language,abstract,url
mn9,en,Translated by Bhikkhu Bodhi,/mn9/en
mn9,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn9/vn
mn9,ko,이 책의 서문에서 빅쿠 보디 스님이 밝히고 있는 바와 같이,/mn9/ko
mn9,en,English translation of MN 9 from Access to Insight. Translator Ñanamoli Thera & Bhikkhu Bodhi.,http://www.accesstoinsight.org/tipitaka/mn/mn.009.ntbb.html
mn9,en,English translation of MN 9 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.009.than.html
mn9,en,English translation of MN 9 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/009-sammaditthi-sutta-e1.html
mn9,fr,French translation of MN 9 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn009.html
mn9,de,German translation of MN 9 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m009z.html
mn9,de,German translation of MN 9 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m009n.htm
mn10,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn10/pi
mn10,en,Translated by Bhikkhu Bodhi,/mn10/en
mn10,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn10/vn
mn10,ko,이 책의 서문에서 빅쿠 보디 스님이 밝히고 있는 바와 같이,/mn10/ko
mn10,en,English translation of MN 10 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.010.nysa.html
mn10,en,English translation of MN 10 from Access to Insight. Translator Soma Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.010.soma.html
